timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz]
2020/12/31 09:58:57.084, 31 %, 16 %, 47.92 W, 1063 MHz
2020/12/31 09:58:58.087, 56 %, 28 %, 48.10 W, 1063 MHz
2020/12/31 09:58:59.089, 45 %, 23 %, 48.20 W, 1063 MHz
2020/12/31 09:59:00.092, 49 %, 24 %, 48.20 W, 1063 MHz
2020/12/31 09:59:01.095, 61 %, 30 %, 48.11 W, 1063 MHz
2020/12/31 09:59:02.098, 39 %, 20 %, 48.10 W, 1063 MHz
2020/12/31 09:59:03.100, 47 %, 23 %, 48.10 W, 1063 MHz
2020/12/31 09:59:04.103, 11 %, 6 %, 47.91 W, 1063 MHz
2020/12/31 09:59:05.104, 64 %, 32 %, 48.20 W, 1063 MHz
2020/12/31 09:59:06.107, 67 %, 34 %, 48.20 W, 1063 MHz
2020/12/31 09:59:07.110, 100 %, 55 %, 50.96 W, 1063 MHz
2020/12/31 09:59:08.111, 84 %, 45 %, 48.39 W, 1063 MHz
2020/12/31 09:59:09.114, 100 %, 64 %, 116.93 W, 1063 MHz
2020/12/31 09:59:10.116, 100 %, 64 %, 115.37 W, 1063 MHz
2020/12/31 09:59:11.119, 100 %, 62 %, 113.45 W, 1063 MHz
2020/12/31 09:59:12.120, 100 %, 62 %, 113.21 W, 1063 MHz
2020/12/31 09:59:13.123, 100 %, 58 %, 112.41 W, 1063 MHz
2020/12/31 09:59:14.125, 100 %, 55 %, 51.82 W, 1063 MHz
2020/12/31 09:59:15.128, 100 %, 59 %, 114.35 W, 1063 MHz
2020/12/31 09:59:16.131, 100 %, 56 %, 71.65 W, 1063 MHz
2020/12/31 09:59:17.138, 94 %, 51 %, 49.45 W, 1063 MHz
2020/12/31 09:59:18.141, 100 %, 57 %, 80.24 W, 1063 MHz
2020/12/31 09:59:19.144, 100 %, 59 %, 113.36 W, 1063 MHz
2020/12/31 09:59:20.146, 100 %, 59 %, 111.74 W, 1063 MHz
2020/12/31 09:59:21.149, 100 %, 56 %, 56.52 W, 1063 MHz
2020/12/31 09:59:22.152, 100 %, 58 %, 112.50 W, 1063 MHz
2020/12/31 09:59:23.154, 95 %, 52 %, 51.75 W, 1063 MHz
2020/12/31 09:59:24.155, 84 %, 45 %, 48.97 W, 1063 MHz
2020/12/31 09:59:25.158, 87 %, 47 %, 49.35 W, 1063 MHz
2020/12/31 09:59:26.161, 100 %, 63 %, 116.99 W, 1063 MHz
2020/12/31 09:59:27.165, 100 %, 62 %, 119.61 W, 1063 MHz
2020/12/31 09:59:28.167, 100 %, 62 %, 114.74 W, 1063 MHz
2020/12/31 09:59:29.170, 100 %, 62 %, 117.31 W, 1063 MHz
2020/12/31 09:59:30.173, 100 %, 62 %, 118.08 W, 1063 MHz
2020/12/31 09:59:31.176, 100 %, 58 %, 111.54 W, 1063 MHz
2020/12/31 09:59:32.178, 100 %, 56 %, 117.80 W, 1063 MHz
2020/12/31 09:59:33.181, 100 %, 62 %, 111.64 W, 1063 MHz
2020/12/31 09:59:34.184, 100 %, 67 %, 113.87 W, 1063 MHz
2020/12/31 09:59:35.187, 81 %, 59 %, 114.93 W, 1063 MHz
2020/12/31 09:59:36.190, 100 %, 61 %, 116.65 W, 1063 MHz
2020/12/31 09:59:37.192, 100 %, 60 %, 113.07 W, 1063 MHz
2020/12/31 09:59:38.195, 100 %, 60 %, 115.08 W, 1063 MHz
2020/12/31 09:59:39.198, 100 %, 53 %, 115.69 W, 1063 MHz
